entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRbio,LRRyield
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.4,corn,NA,NA,summer annual,community,NA,2.101914398,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,5.1,corn,NA,NA,summer annual,community,NA,-0.693147181,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.7,corn,NA,NA,summer annual,community,NA,0,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.4,corn,NA,NA,summer annual,community,NA,1.791759469,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,N,5.1,corn,NA,NA,summer annual,community,NA,-0.083216306,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,3.7,corn,NA,NA,summer annual,community,NA,-0.249144053,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,N,3.5,corn,NA,NA,summer annual,community,NA,-0.384768226,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,2.4,corn,NA,NA,summer annual,community,NA,0.090806448,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,4.5,corn,NA,NA,summer annual,community,NA,-2.079441542,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,0.741937345,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,-0.393042588,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,1.038508365,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,4.5,corn,NA,NA,summer annual,community,NA,-1.178654996,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,-2.564949357,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,-0.723179468,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,-1.762602885,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,-2.995732274,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,-0.980829253,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,-2.079441542,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,N,4.5,corn,NA,NA,summer annual,community,NA,-0.960626546,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,3.5,corn,NA,NA,summer annual,community,NA,-0.280902385,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,N,NA,corn,NA,NA,summer annual,community,NA,-0.402917336,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Clayton, NC",NC,35.651013,-78.457184,NA,0.6,sandy loam,5.5,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,2.2,corn,NA,NA,summer annual,community,NA,0.03509132,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,loamy sand,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,5.1,corn,NA,NA,summer annual,community,NA,2.48490665,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,loamy sand,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.7,corn,NA,NA,summer annual,community,NA,1.791759469,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,loamy sand,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,2.772588722,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,loamy sand,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.4,corn,NA,NA,summer annual,community,NA,1.945910149,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal Rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,5.1,corn,NA,NA,summer annual,community,NA,-0.374693449,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.7,corn,NA,NA,summer annual,community,NA,-2.079441542,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,-0.575364145,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.4,corn,NA,NA,summer annual,community,NA,-1.16315081,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,5.1,corn,NA,NA,summer annual,community,NA,-0.693147181,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.7,corn,NA,NA,summer annual,community,NA,-0.693147181,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,5.1,corn,NA,NA,summer annual,community,NA,-0.755517511,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,3.7,corn,NA,NA,summer annual,community,NA,-0.289233663,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,N,3.5,corn,NA,NA,summer annual,community,NA,-0.643250209,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,2.4,corn,NA,NA,summer annual,community,NA,-0.566616983,NA
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,N,4.5,corn,NA,NA,summer annual,community,NA,0.3254224,0.480225183
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,2.153549514,0.304660409
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,1.148622709,0.242140052
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,2.432262916,-0.139419535
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,4.5,corn,NA,NA,summer annual,community,NA,-1.453433664,0.480225183
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,-1.124929597,0.304660409
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,-0.472604411,0.242140052
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,0.224008978,-0.139419535
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,4.5,corn,NA,NA,summer annual,community,NA,-1.098612289,0.480225183
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,3.5,corn,NA,NA,summer annual,community,NA,0,0.304660409
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,Y,NA,corn,NA,NA,summer annual,community,NA,0.84729786,0.242140052
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,Y,2.2,corn,NA,NA,summer annual,community,NA,1.466337069,-0.139419535
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Cereal rye,grass,no-till,NA,125,broadcast,NA,herbicide,H,Y,4.5,corn,NA,NA,summer annual,community,NA,-0.371024618,0.480225183
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Crimson clover,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,3.5,corn,NA,NA,summer annual,community,NA,-0.209091798,0.304660409
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Subteranean clover,legume,no-till,NA,45,broadcast,NA,herbicide,H,N,NA,corn,NA,NA,summer annual,community,NA,-0.378867796,0.242140052
NB,27,"Yenish et al., 1996",1996,1991-2000,Split plot,4,N,2,4,2,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,0.4,sandy loam,6.2,Hairy vetch,legume,no-till,NA,30,broadcast,NA,herbicide,H,N,3.5,corn,NA,NA,summer annual,community,NA,0.206290747,-0.139419535
VS,28,"Zotarelli et al., 2009",2009,2001-2010,RCBD,4,N,2,4,2,"Citra, FL",FL,29.411919,-82.109867,NA,NA,fine sand,NA,Hairy vetch,legume,strip till,318,78,drilled,85,herbicide + mow,D,N,NA,corn,100,15,summer annual,community,NA,0.159759219,0.503255565
VS,28,"Zotarelli et al., 2009",2009,2001-2010,RCBD,4,N,2,4,2,"Citra, FL",FL,29.411919,-82.109867,NA,NA,fine sand,NA,Cereal rye + hairy vetch,mix,strip till,318,78,drilled,85,herbicide + mow,D,N,NA,corn,100,15,summer annual,community,NA,-0.366850272,0.348277119
VS,28,"Zotarelli et al., 2009",2009,2001-2010,RCBD,4,N,2,4,2,"Citra, FL",FL,29.411919,-82.109867,NA,NA,fine sand,NA,Cereal rye + hairy vetch,mix,strip till,318,78,drilled,85,herbicide + mow,D,N,NA,corn,100,15,summer annual,community,NA,-0.190226736,0.267879445
VS,28,"Zotarelli et al., 2009",2009,2001-2010,RCBD,4,N,2,4,2,"Citra, FL",FL,29.411919,-82.109867,NA,NA,fine sand,NA,Cereal rye,grass,strip till,318,78,drilled,85,herbicide + mow,D,N,NA,corn,100,15,summer annual,community,NA,-0.322398509,-0.088246199
